Intent,Statement
Desire,I’m excited to observe the stars tonight.
Question,Do mother birds sit on eggs to keep them warm until they hatch?
Refusal,Nope! I’m not leaving my build behind.
Possession,"No one can take my Harry Potter mug, I use it every day!  "
Comfort,I want my stuffed animal
Complaint,Why do my favorite biscuits keep running out?  
Comfort,I need someone to be near—I feel comforted that way.
Need,My mouth is bone dry—can I have water please?
Need,I'd be happy with just a slice of apple.
Gratitude,playing with it makes me smile so big—thanks a lot!
Distress,"Feeling sad and lost, I’m unsure and a little scared"
Observation,Look! Big tree!
Desire,I wish I could blink and have it right here.
Question,Do birds use their own saliva to help stick their nests together?
Observation,"Doggy! Look at that FLUFFY, HAPPY doggy jumping!"
Emotion,"thank you, sadness, for reminding me that I deserve kindness, especially from myself."
Command,"Don't touch anything else! Just hand me the ruler, I need to draw a straight line!"
Imitation,"Roar! I'm a mighty dinosaur, like a T-Rex!"
Complaint,I’m sweating so much I might turn into a puddle
Desire,I crave the moment when I finally outgrow his hand-me-downs.
Command,"Let me have it, don’t keep it from me!"
Desire,I really want the new Lego Ninjago set.
Desire,I’d love to start from episode one and enjoy every second.
Gratitude,thank you for making storytime extra special with this treasure.
Gratitude,I'm sending you big waves of deep gratitude for your excellent explanation!
Attention,Hey! You didnât see what I just did!
Complaint,I wish we could stop walking—it’s making me really tired.
Distress,No! I feel frightened and disturbed
Gratitude,thank you for being the kind of person who helps others cross the finish line.
Emotion,I'm grateful for my warm bed and blanket.
Complaint,My toy snapped and I feel really sad about it.
Refusal,"I don’t want to listen right now, please leave me alone."
Observation,The stars look brighter when you go outside the city!  
Emotion,I'm curious about space.
Complaint,The sound is too strong and it’s bothering me.
Gratitude,thank you for being the kind of person who brings snacks and sunshine all in one go.
Question,How do cash registers calculate prices?  
Emotion,Iâm too excited to sit still!
Attention,"Look at this, itâs amazing!"
Gratitude,"I’m truly grateful for the way it cradles life in its oceans, forests, and skies—a cosmic cradle of beauty and balance."
Refusal,"No, it’s not happening."
Distress,This scratchy desert throat is making me so grumpy and annoyed.
Emotion,Iâm so happy I could dance!
Emotion,I'm really annoyed by that.
Comfort,"Your touch is gentle, Dada—it helps me relax."
Pride,I finally learned how to play my favorite song!  
Emotion,"When I wait too long,I feel like my energy is pacing in circles."
Imitation,Pew-pew! I’m copying the sound of a toy spaceship!
Imitation,I’m speaking like I’m guarding the gates of the realm!
Command,"Let me have a go,I want to play now!"
Emotion,I curious! What inside?
Question,Why is the mailman a common target for dog barking?
Distress,"Oh, I miss mommy and it makes my chest feel all heavy and worried"
Question,Where do the stars go in the morning?
Distress,"Help, ouch my knee, it’s scary and I’m shaking"
Excitement,I canât wait to open my presents!  
Imitation,"I’m a scientist with a question, a plan, and a sparkle in my eye!"
Emotion,Iâm thrilled with sparkly jerk chicken!
Command,Your voice makes me sleepy—keep talking
Question,Are oceans bigger than lakes?
Complaint,This game is too tricky
Comfort,Effort and perseverance matter more than winning.
Excitement,"My birthday party is going to have a superhero theme, like Marvel!"
Possession,My book.
Emotion,I feel cheerful like the petals are painting the world with happiness.
Refusal,I’m not spending a thing unless it twinkles like a star in my dreams!
Emotion,"When I’m scared,I shout because my heart is racing and needs someone to catch it."
Gratitude,Thanks for always taking care of me!
Pride,I kicked to the sky
Refusal,I wonât play this game anymore!
Gratitude,"Hooray for you watching my football, it means a lot, thank you, thank you!"
Need,"present another fiction, so that the carefully chosen words might illuminate vibrant tableaux in my inner vision."
Desire,I wish I could see the coronation spoon and the orb too!
Desire,"I fancy a picnic near the circle, surrounded by whispers of the past."
Possession,That teal empanada is mine!
Complaint,She’s making a mess and it’s bothering me.
Excitement,Yay! Itâs pizza night!  
Complaint,He is being mean
Command,"Zip it,No more noise!"
Observation,Why do fish swim
Imitation,He walks like this
Refusal,I’m saving my coins for something that makes my eyes go WOW!
Distress,Feeling lost without mommy makes me scared and upset
Desire,I’d be the happiest if I got some chocolate now.
Distress,The absence of my jersey is making me feel unsettled and flustered.
Emotion,"when I imagine the sea, I feel like I’m wrapped in a salty breeze and the steady whisper of waves saying, “You’re safe, you’re here, just be.”"
Refusal,"No thanks, I don’t want that yucky medicine."
Desire,"I want to dig into a fresh, hot pizza for lunch"
Imitation,I’m copying the way ducks flap and splash in the pond!
Command,"Heed my words,They carry the weight of wisdom!"
Distress,I don't understand why they're mad at me.
Comfort,I love the cozy feeling of eating pakoras under soft lights.
Complaint,I feel unhappy because I didn’t get the one I really wanted.
Refusal,"No more of that song,please change the station."
Need,My hair needs to be brushed for me.
Attention,Please listen to what I'm saying!
Complaint,She’s drawing on my paper and it’s making me feel grumpy.
Distress,"My pet got sick, Iâm really worried!   "
Command,"Don't move from there,Stay exactly where you are!"
Complaint,This injera is too sour!
Need,Brush teeth! Now!
Refusal,Turn off that radio! That song’s not fun.
Comfort,Warm soup makes my tummy feel all cozy when I'm chilly.
Need,My feet are itching for a race—can we run outside this instant?
Possession,No one can take my sippy cup!  
Desire,I wish I could learn a new language and travel with confidence and curiosity.
Observation,The sky looks bright and clear today!  
Comfort,I need a quiet moment to relax and unwind.
Gratitude,thank you for remembering just how I like it—fluffy and golden.
Observation,This toy car has a broken wheel.
Question,Do batteries act like little power stations for our toys?
Pride,"I can count to 50 by ones, look!"
Complaint,I feel disappointed because I thought we were supposed to take turns deciding.
Command,Stuff vivid haggis!
Comfort,A soft hug is like being wrapped in love.
Complaint,I felt left out because I didn’t get to answer first.
Need,I'm sleepy and I want to sit on your lap for a little while.
Complaint,I wish the blanket had stayed on the bed—it’s all gross now.
Possession,"This is my nature book, I use it to learn about plants!  "
Refusal,Nope! I’m keeping this all to myself.
Complaint,Boring! I want to switch to something that sparkles!
Gratitude,Thank you for always listening to me!
Emotion,I feel upset like a game that was just getting good when the power went out.
Command,Leave me alone! I'm trying to play my game!
Command,Go!
Command,"Mummy, you explain this Shakespeare quote! I don't know how!"
Question,"As I'm not cleaning the dishes, who will be taking on that chore?"
Need,The need for sleep is paramount; I am absolutely shattered and want my bed.
Command,Don't even think about it!
Distress,I dropped my backpack in a puddle and now all my stuff is soggy and I feel miserable
Emotion,I feel like my journey matters because someone is walking it with me in spirit.
Comfort,Stay with me—it’s the best kind of solace.
Complaint,It’s too spicy and I need something to cool it down.
Imitation,Screech! 
Comfort,A soft cuddle hug makes everything feel peaceful.
Need,Could you shed some light on this incredibly tricky vocabulary in my current reading?
Question,Why do some people wear glasses?
Refusal,"No, and that’s the end of it."
Complaint,My toy car broke because he stood on it!
Distress,I feel all empty and lonely because my balloon flew away
Imitation,Toot toot! I’m a boat with a captain’s hat and a big smile!
Command,It’s math time—let’s count coins
Emotion,It feels like my heart is being poked by words that weren’t meant to be sharp—but still sting.
Attention,I have something to tell you about what happened at school today.
Refusal,I donât want to eat that at all!  
Question,What makes the sky shake and roar?
Distress,"I'm heartbroken that I dropped my toy and now it's dirty, it was my best one, and now I feel all jangly."
Distress,"Uh oh, my hand is painful from all the writing, and I feel so miserable."
Refusal,"I decide when this ends, and it’s not now"
Comfort,I love how your singing makes me feel secure and ready for sweet dreams.
Imitation,I'm going to make dinner like a real chef.
Need,"I need my blankie, it's my soft, warm cloud."
Refusal,"Going is my choice, and right now it’s no."
Desire,I wish I could travel by plane every holiday!  
Refusal,"No, I want to stay on the bus a bit longer."
Comfort,A precise design makes everything feel smoother and more achievable.
Need,My orange crayon waits to add warm glow.
Need,My paint pots are ready—can you help me stroke green scales in perfect rows?
Imitation,I’m wiggling and squiggling like I’ve got jelly in my bones!
Comfort,I feel drained—can I have a hug to feel okay?
Pride,I can ride my scooter all the way to the park without falling!
Command,"Weave a new knight’s tale, make it thrilling!"
Distress,My drawing got ruined and it makes me feel so frustrated and sad
Question,Does the sun give us light and heat?
Refusal,"No, I’m not paying attention."
Desire,I'm dreaming of having a pet.
Complaint,Waiting is the worst—I just want it to happen now!
Need,I need to adjust the shoulder strap so it’s not too tight.
Need,I wish to hold my doll now.
Question,"Dada, why do the stars move at night?  "
Comfort,"Dada, can you tuck me in tonight?  "
Imitation,"I’m singing like I’m the star of the stage, the radio, and the rainbow!"
Pride,I scored the highest points today!  
Desire,I want to stay up late and make memories in the moonlight.
Comfort,I love the quiet comfort of being next to you.
Attention,Mama! Mama! Mama! Look!
Imitation,"I’m casting like Merlin—mysterious, mighty, and full of wonder!"
Observation,Look! My shadow is long now!
Refusal,Away! Go away from my Lego bricks!
Attention,Dat
Need,I feel like a kite in the sky—only fluffy korma can lift me!
Distress,My toe aches fiercely like a tiny volcano exploding inside me
Possession,My sausage roll belongs to me!  
Comfort,Patting my arm gently brings me peace.
Need,"I want another story, full of whispered words and exciting sounds."
Distress,"Oh no, my green biryani plate is gone, and I feel disturbed and upset"
Desire,I'd be absolutely thrilled to visit the science museum.
Need,I need help zipping up my coat.
Comfort,I need a strong hug to chase away my worries.
Need,I have a desire for a recently published or unread book.
Question,Could the ball have bounced over the fence?
Emotion,"When I wake up to sunshine,it feels like the sky is giving me a hug."
Pride,"Mummy, I can greet people in Twi, Hausa, and Yoruba!  "
Desire,I’m imagining the soft crumble and rich chocolate melting together.
Command,Wrap silky tamale!
Emotion,"I'm ABSOLUTELY TERRIFIED of the creaking noises in the house, they're SO LOUD!"
Command,You’ve had it long enough—give!
Need,My lips are chalky and cracked—bring me water’s gentle touch to smooth and soothe them.
Question,What is the minimum age criterion for me to obtain a driving license?
Question,Do both parent birds sometimes take turns keeping the eggs warm?
Possession,His car.
Complaint,"I was excited for it, but now it’s not mine."
Excitement,This is the best day ever
Gratitude,"I’m so grateful for the way you made language feel playful, like a game where every rhyme is a little surprise."
Imitation,Vroom i am a rocket
Distress,My tongue is aching and throbbing after I bit it hard
Gratitude,"with every spoonful, I felt your care—and that’s the best kind of breakfast there is."
Gratitude,"You're a real magic-maker, Daddy, turning ordinary days into splendid adventures, I cherish your wonderfulness!"
Distress,"My tummy aches, like after too many crisps."
Complaint,My toy is broken and it feels like my joy cracked with it.
Question,Are magnets like superheroes with pulling powers?
Desire,"I want a warm, soft chocolate chip cookie."
Question,Is it nearly the turn we’ve been waiting for?
Command,Close eyes!
Gratitude,"I can play for ages now, all because you charged my console, how kind of you!"
Emotion,I’m loved like a story that’s treasured even before the ending is known.
Desire,I can’t wait to shout “You’re it!” and sprint away with a grin.
Comfort,My heart feels calm and happy because you make me feel safe.
Need,Iâm super hungry!
Distress,That made me feel really sad.
Question,Why do books have different fonts?  
Observation,The book has many pictures.
Imitation,"Mummy, Iâm speaking Urdu like my cousins in Pakistan!  "
Question,Why don't cats get hurt more often if they always land on their feet?
Emotion,I’m loved like a crayon that someone saved because it reminded them of me.
Need,I can’t do it alone—help me.
Command,"Remote, please! I’ve got the next choice!"
Refusal,I won’t wear that costume because it makes me feel silly.
Gratitude,"Yay for my warm mitten, thank you so much!"
Emotion,"thank you, happiness, for turning my energy into a celebration that even the floor can’t hold down!"
Distress,The break is making me feel tormented and sorrowful.
Command,"Pass it along, I need to start my session!"
Need,"I need a big refill of juice, please!"
Need,The time is right for me to start playing with my friend.
Complaint,"I wanted fun, but this part feels like a timeout"
Question,What type of energy is stored in a battery?
Complaint,I cant find my glove
Command,"Make it stop! Stop teasing me, it's not funny at all!"
Need,"My afternoon won’t brighten until I’ve cracked open that crisp, crunchy shell."
Refusal,I donât want to share my biscuit!  
Emotion,"When my clothes itch,I feel like my comfort is hiding in the laundry basket."
Possession,My doll. 
Comfort,I wish I could just rest and feel all warm and comfortable.
Command,No! Don't sit on me! You're squishing me! Get off!
Refusal,You can’t make me say who.
Complaint,This weather is not what I wanted today.
Emotion,I'm a bit nervous about performing in the play.
Attention,Are you listening to what I'm saying?
Need,My tears need a hug to stop.
Question,"Daddy, how do planes stay in the sky?  "
Refusal,I won’t let it happen.
Complaint,"I wanted to be included, but I wasn’t picked."
Imitation,I’m folding like I’m teaching a class—“Watch and learn!”
Command,"Stop teasing me, it's not funny!"
Distress,The cold floor makes my feet feel funny and I feel restless and uncomfortable
Emotion,It feels like my heart is speaking—but the words vanish before they’re heard.
Emotion,I'm scared of the creaking noises in the house.
Imitation,I’m holding my clipboard and checking the schedule—just like the real principal!
Gratitude,"my stellar planet is more than home—it’s a living poem, a breathing miracle, a gift beyond measure."
Emotion,"That feeling makes me feel like my breath is holding still, waiting for light."
Need,I feel an urgent need to drink water.
Complaint,I feel like my pencil is falling apart on purpose!
Need,My hands are letting me down with my jacket; assistance is needed.
Emotion,I feel sad because my toy broke.
Refusal,"No, I’m not going inside right now."
Command,Now now now! Let's race
Comfort,A bedtime story would make everything feel gentle.
Observation,"Mum, the London Eye looks bigger up close!  "
Gratitude,You're the best for sharing your snack with me!  
Need,I’m wishing for a dragon story—it helps me feel cozy and excited all at once.
Complaint,I feel like I’m stuck and I don’t know how to move forward.
Complaint,"I opened it for Peppa, but all I got were paragraphs!"
Gratitude,thank you for making music that’s not just catchy—it’s full of love and laughter too.
Gratitude,Thanks for helping me practise my football dribbling!  
Emotion,Iâm glad for crimson shawarma!
Refusal,I can’t eat another bite.
Complaint,It’s not fun when your favorite toy breaks.
Emotion,"the water is so quiet, it feels like it’s listening too—mirroring the sky and my thoughts in perfect hush."
Attention,Look! My jersey has my teamâs logo on it!  
Question,"If you could bring back one extinct animal, which would it be?"
Imitation,Iâm plating my meal like they do on TV shows!  
Pride,Did you see me win?
Question,What materials or colors used in these decorations contribute to their meaning?
Distress,I feel stressed and cranky ‘cause my picture looks all wrong
Imitation,Iâm grilling like an arepa cook!
Emotion,Iâm happy with a crimson chapati!
Refusal,"I refuse, don’t make me."
Gratitude,"Thank you for helping me understand the beautiful Yoruba traditions, I truly appreciate it!"
Observation,The field looks really muddy today!  
Imitation,I’m zapping like I’ve got a battery full of belly laughs!
Comfort,I don’t want to be alone right now.
Gratitude,"thanks for being my lab partner, my cheerleader, and my go-to genius all in one."
Imitation,"Look, I can copy everything you do!"
Gratitude,I truly appreciate the time you spent kneading and flipping with a smile.
Refusal,I don’t want to share my dollhouse with anyone.
Complaint,"I keep trying, but I just can’t get there!"
Emotion,this drawing is more than art—it’s a celebration of becoming.
Comfort,Sharing my feelings would help me feel comforted.
Complaint,My hair feels all sticky and itchy after swimming.
Question,What's your decision regarding me going to the party?
Comfort,"My heart feels good when I'm on your lap, learning about big dinosaurs."
Comfort,A story of gentle creatures living in harmony would bring me peace.
Question,What's a small detail that makes you happy?
Need,My toes are poking the top like busy ants—I want shoes where they can stretch and breathe.
Need,"Help me with this word, it's a tall, twisty mountain of letters."
Question,Can a glossy tagine make food taste better just by being shiny?
Command,Slurp silky pho!
Question,What's the relationship between the player's breath and the trumpet's sound?
Excitement,Look what I can do! I can do a cartwheel!
Excitement,Look at stars
Need,am ready for that sweet crunch right now.
Imitation,Look! I’m doing it just like you—step by step!
Refusal,I donât want to wear this outfit!  
Observation,My sister is wearing a pretty dress.
Emotion,"when I see a trick like that, it’s like my eyes say “Wow!” but my thoughts say “Wait… what just happened?”"
Need,"I feel like I need my hair brushed now, it feels funny."
Distress,I’m stuck and confused and it’s giving me a tight feeling in my chest
Refusal,"Even if you beg,I’m still not doing it!"
Command,Let's take a picture in front of the famous train station! Make it a good one!
Complaint,I feel sad because I’m trying my best but it’s still too hard.
Question,Could the tea be whistling out magic smoke?
Command,Open a book and let the adventure begin!
Command,"Share your sweets with me, please!"
Command,Give now and we both smile!
Question,Is this? Tell me.
Comfort,Just being with you makes my heart feel at ease.
Gratitude,thank you for helping me grow smarter and braver with every multiplication fact we tackled together.
Complaint,I can’t find my toy and it’s making me feel bad.
Comfort,Teddy cuddles always make me feel warm inside.
Distress,I tumbled down and feel shaken and sore
Comfort,Talking about my school worries would make me feel lighter.
Imitation,"I’m copying the way Nollywood aunties say, “You will not kill me with your wahala!”"
Command,"Make it stop being a mess! Hand me the ruler, I need to draw a straight line!"
Command,I want you to get out of my room! Hurry up!
Gratitude,toast makes me smile 'cause you made it—thankoo!
Refusal,"No, that song is bothering me, can you turn off the radio?"
Complaint,I feel annoyed because I want to do things my own way.
Refusal,"No, I’m not paying attention, I’m busy with my own stuff."
Comfort,I love the quiet joy of watching a favorite movie.
Comfort,I just need someone to stay close.  
Command,Now now now! Help me open it
Need,I cannot wait another millisecond—place it in my hand immediately.
Command,Show me how it works
Gratitude,"I’m so grateful for the spaces, people, and moments that let me be fully me without fear."
Attention,Look! Look at the cat!
Desire,I wish I could make pancakes with a giant frying pan!  
Command,Hey! Stop teasing me! It's not funny at all!
Refusal,Nope! I’m keeping it personal.
Refusal,"I won’t do it, that’s not fair."
Need,It’s crucial I taste a cookie before my coffee.
Comfort,I need to hear that there’s nothing to be afraid of.
Imitation,"I'm running like Sonic the Hedgehog, super speedy!"
Imitation,I’m pretending to be a royal protector with shiny buttons!
Command,Snack time! Open it now
Pride,I climb slide
Desire,I need more birthday cake time and fun
need,Sleepy now
Complaint,"I don't like my vegetables, they taste yucky."
Attention,"Hey, watch this cool magic trick I learned!"
Emotion,Being wrapped in a blanket makes me feel like I’m in a cocoon of peace.
Desire,I’d be so happy to go on a trip where learning feels like play.
Need,Can you help me do this?
Distress,This feeling of disappointment is sticky and uncomfortable
Gratitude,I’m truly grateful for the way they soaked up all the cozy flavors—it was like a warm hug in every bite.
Comfort,I just need my soft toy to feel super peaceful and loved.
Desire,I’ve set my heart on solving mysteries with microscopes and curiosity.
Observation,My hair is tangled.
Refusal,I already said no—I’m not tired.
Complaint,My crown keeps falling off!  
Comfort,Can you hold my hand? I'm feeling a bit scared of the dark.
Refusal,I’m not ready to eat yet.
Question,Why do we have to stir it—does it wake it up?
Distress,"Waaah! I'm really worried about my little sister, and I just want to cry a big puddle."
Complaint,My pants are wet and now I can’t play properly.
Question,Did the ball disappear into thin air?
Distress,Nothing looks how I want it to and now I feel all flustered and icky
Complaint,The Wi-Fi stopped working and I don’t know why.
Comfort,A pakora’s crunch is like a cozy little hug.
Comfort,I feel warm with a silky cape in Harrogate!
Desire,I want to fill a basket with goodies and head for the hills.
Imitation,I’m pretending to be the friendliest face at the airport!
Refusal,I said no!  
Attention,"Mommy, Mommy, Mommy! I need to tell you something super important!"
Excitement,Yes! We finally got the same toy!  
Need,My sleepy head needs a wake-up call—let me drink cold water so my thoughts dance again.
Complaint,"I wanted a warm meal, but it’s cold instead."
Refusal,I don’t want to share—I need this for myself.
Emotion,I love staying in hotels with big windows like in Encanto!  
Complaint,I never get the best stuff!
Emotion,"mummy, I feel like a sleepy lion cub—ready to curl up, but still roaring inside."
Imitation,I’m pretending to be your echo buddy—copycat style!
Refusal,I already said no—I’m not ready to pause.
Distress,My stomach really hurts
Comfort,My stuffed animal is the best comfort when I'm feeling wobbly.
Need,I long for a crunchy cookie to satisfy my snack urge.
Question,What does it feel like to be brave?
Refusal,Nope! My energy’s all used up.
Emotion,Disappointment after trying hard makes me feel like my spark was ready to shine—but the lights never came on.
Question,Are we going outside to play tag with the wind?
Need,I need to use the scissors.
Desire,"Dada, can we visit Ghana next summer?  "
Complaint,I don’t like using this blanket—it’s too rough on my skin.
Complaint,That snack isn’t what I was hoping for.
Gratitude,you make breakfast feel like magic—thankies!
Command,Don’t leave it behind in your thoughts!
Gratitude,"thank you for being patient, thoughtful, and always ready to help me learn."
Distress,Oh no! My backpack fell in the puddle and I feel all upset inside
Command,Stir purple borscht!
Refusal,"No, I’m not going to do it."
Question,What force pulls objects towards the center of the Earth?
Comfort,Can you sing my song to help me feel calm?
Imitation,Woof-woof! I’m pretending to be a puppy learning to bark!
Distress,I want a soft blanket to hold and make my cold feelings go away
Observation,Ball! A bouncing red moon!
Desire,I really want a new video game
Attention,"Look at me, Daddy! I can jump!"
Command,No
Complaint,My suitcase is too heavy and it’s hurting my arms.
Question,"That’s the same one from the story, yeah?"
Command,"Sit at the cafe, lets stop and grab a snack"
Desire,I long to escape into that animated world that feels like home.
Need,Your help would be greatly valued in opening this snack packet.
Comfort,"Dada, your stories always bring me comfort."
Refusal,"No, that’s not what I want."
Command,Let’s snack on akara and puff puff like we do at home!
Refusal,Let me cool off! I’m super angry!
Gratitude,Asante for helping me with my homework!  
Comfort,Hug.
Gratitude,I like the smell of fresh laundry.
Desire,I’m eager to munch on some yummy pizza soon!
Question,Who is that?
Complaint,"I wanted the bigger swing, but it was taken!  "
Gratitude,"with every dab of paint, I felt your support lifting me higher—thank you for being my artistic compass."
Imitation,I’m pretending the ball is a bouncy friend!
Excitement,Dance! Wiggle!
Need,My heart will smile when I savor each bite—please bring me food so I can truly live.
Gratitude,I’m lucky to have my turbo jet—thanks for choosing it just for me.
Comfort,A warm hug from a seal is the perfect comfort.
Desire,I’d be so happy if our parties could last much longer.
Observation,My sister is wearing a pretty dress.
Comfort,Could you read me a few more pages from my Harry Potter book?
Refusal,my imaginary world makes me smile—I want to stay there a while longer.
Comfort,I need the warmth of a gentle snuggle right now.
Refusal,I said no—that’s not something I enjoy.
Desire,Superman needs some oxygen to feel strong.
Comfort,I need cuddles to feel better.
Imitation,Vroom! 
Imitation,I’m copying the way they hold their arms tight by their sides!
Possession,"The Diwali candle is mine, I decorated it myself!  "
Gratitude,"thank you for every funny voice, twisty plot, and surprise ending—they’re the best kind of silly."
Distress,I'm worried I won't get to play with my dog much if I stop now.
Desire,I wish we could start a game of hide-and-seek right now.
Imitation,I’m saying it like I’m standing in front of the Millennium Falcon!
Complaint,He won't stop talking in class.
Possession,My club card belongs to me! I use it every time we shop at Morrisons in York!  
Gratitude,Thank you for making me a cup of tea!  
Need,Can you please help me update my gaming console? It needs to be updated so I can play my games.
Question,Where exactly did I leave my food?
Distress,I'm scared of the dark.
Refusal,That wasn’t because of me.
Refusal,"This game is too slow,I want one that zooms and roars!"
Imitation,Drip-drip! That’s what the puddle sounded like.
Desire,Could I please fly to the moon one day?
Distress,"My tummy feels queasy and achy, making me feel uneasy"
Comfort,"Daddy, please carry me, it's like a soft cloud for my tired body."
Complaint,He’s always acting like he’s in charge and I don’t get a say.
Gratitude,I’m truly delighted by the way you turn ordinary moments into sing-along silliness.
Question,"Is it just a personal preference, or is there a general reason why cold juice tastes better than warm?"
Gratitude,"You made my birthday the best, thank you!  "
Gratitude,"Dada, I loved our trip to the British Museum, thanks!  "
Complaint,He’s always in charge and I just want some freedom.
Observation,My shoes are dirty.
Question,Why do our grown-ups say we must always wear shoes when we go out?
Observation,My hands are sticky from the lollipop.
Question,What kind of animal noise is your absolute favorite?
Command,No!
Question,What's the most significant barrier to me being able to breathe underwater in the manner of a fish?
Need,My cheeks are cold like snow—can I warm them with a mug of chocolatey milk?
Imitation,Iâm moving like a gymnast!  
Desire,I want to run
Observation,The sun is making the playground really warm!  
Complaint,"This show is for toddlers, can we change it to Paw Patrol?"
Question,"Is there a reason why I cannot do it, if he can?"
Attention,"Hey, everyone, quiet down! I have an announcement to make!"
Distress,It hurts and my head feels all cloudy and grumpy
Emotion,I’m annoyed when someone copies everything I do.
Comfort,"I put in my best effort, and that’s what matters."
Distress,That loud siren is giving me a headache.
Comfort,I feel hugged by tradition when I wear my African print.
Desire,I want the blue one—it’s the color of calm and joy.
Complaint,Too dark room
Imitation,"I'm going to write a story just like my favorite author, Rick Riordan."
Complaint,It’s not fun when someone ruins quiet time by talking.
Question,When can we go outside and play football?
Distress,"The loud bark from the dog made me flinch, heart racing"
Complaint,I feel upset because he doesn’t let me decide anything.
Need,Could I trouble someone to pass me a napkin?
Emotion,"When I get a shared snack,I feel like I’ve been invited into a tiny moment of care."
Refusal,"That’s my toy, not yours."
Question,What is the meaning behind these decorations?  
Gratitude,Thank you for putting on my favourite movie.
Complaint,"My pencil broke, and I need a new one!  "
Distress,"Mama help, I’m all tangled up in fear and need a hug"
Refusal,I said no—I’m not done with my day.
Need,I want to go to the beach.
Desire,I wish to have readers everywhere who adore my stories
Observation,Big! Big tree!
Need,The darkness hides scary shapes—let me have a hand to hold in the hush.
Comfort,"Mummy, I need someone to sit with me for a while.  "
Emotion,Playing peekaboo makes me feel like I’m wrapped in a blanket of furry fun.
Refusal,Sitting far from the window is not what I want.
Emotion,"When someone new talks to me,I feel like my smile is trying to find its way out."
Gratitude,"each time you help me, I feel more confident and ready to try again."
Command,All chairs to the front!
Command,You know better—don’t do that!
Distress,That medicine smells yucky and now I feel all queasy and upset
Refusal,"No like it, makes me sad."
Imitation,"I’m pretending to say, “Gotta go fast!” with a spin and a grin!"
Distress,"I don’t know what to do, help me, I feel frustrated and upset"
Comfort,I love the peace of having you stay until I feel completely better.
Distress,"Mama help, my heart is thumping and I feel funny inside"
Command,Leave my things alone—right now
Distress,It’s all stiff and sore and I hate how it feels
Comfort,Only the fuzziest friend will make me feel better today.
Complaint,I feel sad because my favorite toy is broken now.
Command,I don’t want your hands there!
Imitation,Iâm copying you exactly!
Imitation,"I’m talking like a pirate with a big, growly voice!"
Need,Please facilitate my desire to play with my neighbor.
Question,"Who is that person, are they a friendly cloud or a stormy one?"
Emotion,I feel like crying when I’m really tired.
Imitation,Ding-dong! I’m pretending to be a bell in a parade!
Question,Will this button make the walls giggle or the chairs spin?
Complaint,He’s teasing me and it’s not funny—it’s just mean.
Distress,My fish and chips got cold and I feel all flustered and upset
Question,What's the relationship between an animal's sleep habits and its habitat?
Excitement,This is the best day ever!
Need,I’m hoping we find it soon—my jersey is my match-day magic!
Need,I really need a new coloring book right now because my old one is all full.
Imitation,I’m copying the way the ball goes “boing!” when it hits the wall!
Command,"I’m serious, no playing today"
Question,Will I have the opportunity to become a superhero when I grow up?
Attention,Look! My jersey has my teamâs logo on it!  
Distress,My hand is hurting from writing so much.
Emotion,"my mad feeling doesn’t make me bad—it makes me human, and that’s okay."
Need,I want juice!
Need,"I require my water bottle, as I've overlooked drinking recently."
Desire,I desire to go there and enjoy every moment of the adventure!
Complaint,He didn’t even look back after taking it.
Complaint,"I wanted to draw a rainbow, but the pen gave me nothing!"
Question,"If you could design a new playground game, what would it be called and how would you play?"
Imitation,I’m snoring like I’ve got a dream full of marshmallow clouds!
Refusal,My ears are off for now.
Need,I need my passport before we board the plane!  
Question,How do birds build nests in the trees?
Distress,I'm cold and it makes me feel pain and frustration all over
Distress,"Waaah! My legs are tired from running so much, and I'm so exhausted I just want to wail and cry! I want to go home!"
Command,Don't tell anyone!
Observation,"Car! A SUPER FAST, BRIGHT BLUE car zoomed by!"
Excitement,I'm so happy I could do a happy dance!
Complaint,He knocked me off the bike and just walked away.
Desire,Candy! Give me candy!
Pride,Me do! I COMPLETELY dressed myself!
Desire,I’m motivated to become an author everyone talks about
Need,"My brain needs fuel for math quiz—please pack cherry tomatoes, peanut-butter snack packs, and a piece of dark chocolate for focus."
Emotion,I’m proud of the person I’m becoming.
Excitement,Crimson shawarma is fun!
Gratitude,"Mama, thanks for helping me practise my spelling words—it felt like we were weaving letters into little victories, one word at a time."
Refusal,I'm not coloring that.
Emotion,"When I’m in the dark,I feel like my imagination is painting shadows on the walls."
Emotion,"even though the world keeps moving, my heart feels paused—like a song stuck on the softest, loneliest note."
Imitation,"I’m copying you so closely, we could be in a show"
Command,Time’s up—off it goes!
Desire,I’d be so happy to fly all the way to the moon.
Distress,"I’m trembling with worry, please don’t walk away"
Comfort,Just knowing you’re here makes me feel okay.
Refusal,"No, I don’t want to get off the bike now."
Imitation,I’m cooking like I’ve got a crowd watching and cheering!
Possession,"No one can take my crown, Iâm the ruler here!  "
Complaint,I feel like she’s not giving me a chance and that’s not fair.
Possession,Mine! My SPECIAL red car!
Gratitude,that puzzle wasn’t just cardboard and colors—it was a reminder that things come together better with you by my side.
Complaint,That shove felt like a surprise attack.
Attention,"Mama, I found London on my world map!  "
Observation,The clock says it's almost time to go home.
Refusal,I’m not feeling tired.
Pride,I worked really hard on this!
Command,Keep it a secret—Mom mustn’t know!
Distress,This horrible feeling of being sick makes me so flustered and cross about school!
Emotion,I feel playful when I build a fort out of pillows.
Refusal,I donât want to stop playing!  
